year,industry_code_ANZSIC,industry_name_ANZSIC,rme_size_grp,variable,value,unit,age,profit,new_year
2011,A,"Agriculture, Forestry and Fishing",a_0,Activity unit,46134,COUNT,13,4613446134461344613446134,4022
2011,A,"Agriculture, Forestry and Fishing",a_0,Rolling mean employees,0,COUNT,13,00000,4022
2011,A,"Agriculture, Forestry and Fishing",a_0,Salaries and wages paid,279,DOLLARS(millions),13,279279279279279,4022
2011,A,"Agriculture, Forestry and Fishing",a_0,"Sales, government funding, grants and subsidies",8187,DOLLARS(millions),13,81878187818781878187,4022
2011,A,"Agriculture, Forestry and Fishing",a_0,Total income,8866,DOLLARS(millions),13,88668866886688668866,4022
2011,A,"Agriculture, Forestry and Fishing",a_0,Total expenditure,7618,DOLLARS(millions),13,76187618761876187618,4022
2011,A,"Agriculture, Forestry and Fishing",a_0,Operating profit before tax,770,DOLLARS(millions),13,770770770770770,4022
2011,A,"Agriculture, Forestry and Fishing",a_0,Total assets,55700,DOLLARS(millions),13,5570055700557005570055700,4022
2011,A,"Agriculture, Forestry and Fishing",a_0,Fixed tangible assets,32155,DOLLARS(millions),13,3215532155321553215532155,4022
2011,A,"Agriculture, Forestry and Fishing",b_1-5,Activity unit,21777,COUNT,13,2177721777217772177721777,4022
2011,A,"Agriculture, Forestry and Fishing",b_1-5,Rolling mean employees,38136,COUNT,13,3813638136381363813638136,4022
2011,A,"Agriculture, Forestry and Fishing",b_1-5,Salaries and wages paid,1435,DOLLARS(millions),13,14351435143514351435,4022
2011,A,"Agriculture, Forestry and Fishing",b_1-5,"Sales, government funding, grants and subsidies",13359,DOLLARS(millions),13,1335913359133591335913359,4022
2011,A,"Agriculture, Forestry and Fishing",b_1-5,Total income,13771,DOLLARS(millions),13,1377113771137711377113771,4022
2011,A,"Agriculture, Forestry and Fishing",b_1-5,Total expenditure,12316,DOLLARS(millions),13,1231612316123161231612316,4022
2011,A,"Agriculture, Forestry and Fishing",b_1-5,Operating profit before tax,1247,DOLLARS(millions),13,12471247124712471247,4022
2011,A,"Agriculture, Forestry and Fishing",b_1-5,Total assets,52666,DOLLARS(millions),13,5266652666526665266652666,4022
2011,A,"Agriculture, Forestry and Fishing",b_1-5,Fixed tangible assets,31235,DOLLARS(millions),13,3123531235312353123531235,4022
2011,A,"Agriculture, Forestry and Fishing",c_6-9,Activity unit,1965,COUNT,13,19651965196519651965,4022
2011,A,"Agriculture, Forestry and Fishing",c_6-9,Rolling mean employees,13848,COUNT,13,1384813848138481384813848,4022
2011,A,"Agriculture, Forestry and Fishing",c_6-9,Salaries and wages paid,467,DOLLARS(millions),13,467467467467467,4022
2011,A,"Agriculture, Forestry and Fishing",c_6-9,"Sales, government funding, grants and subsidies",3060,DOLLARS(millions),13,30603060306030603060,4022
2011,A,"Agriculture, Forestry and Fishing",c_6-9,Total income,3114,DOLLARS(millions),13,31143114311431143114,4022
2011,A,"Agriculture, Forestry and Fishing",c_6-9,Total expenditure,2895,DOLLARS(millions),13,28952895289528952895,4022
2011,A,"Agriculture, Forestry and Fishing",c_6-9,Operating profit before tax,223,DOLLARS(millions),13,223223223223223,4022
2011,A,"Agriculture, Forestry and Fishing",c_6-9,Total assets,9323,DOLLARS(millions),13,93239323932393239323,4022
2011,A,"Agriculture, Forestry and Fishing",c_6-9,Fixed tangible assets,5482,DOLLARS(millions),13,54825482548254825482,4022
2011,A,"Agriculture, Forestry and Fishing",d_10-19,Activity unit,1140,COUNT,13,11401140114011401140,4022
2011,A,"Agriculture, Forestry and Fishing",d_10-19,Rolling mean employees,14850,COUNT,13,1485014850148501485014850,4022
2011,A,"Agriculture, Forestry and Fishing",d_10-19,Salaries and wages paid,477,DOLLARS(millions),13,477477477477477,4022
2011,A,"Agriculture, Forestry and Fishing",d_10-19,"Sales, government funding, grants and subsidies",2396,DOLLARS(millions),13,23962396239623962396,4022
2011,A,"Agriculture, Forestry and Fishing",d_10-19,Total income,2438,DOLLARS(millions),13,24382438243824382438,4022
2011,A,"Agriculture, Forestry and Fishing",d_10-19,Total expenditure,2344,DOLLARS(millions),13,23442344234423442344,4022
2011,A,"Agriculture, Forestry and Fishing",d_10-19,Operating profit before tax,126,DOLLARS(millions),13,126126126126126,4022
2011,A,"Agriculture, Forestry and Fishing",d_10-19,Total assets,6524,DOLLARS(millions),13,65246524652465246524,4022
2011,A,"Agriculture, Forestry and Fishing",d_10-19,Fixed tangible assets,3649,DOLLARS(millions),13,36493649364936493649,4022
2011,A,"Agriculture, Forestry and Fishing",e_20-49,Activity unit,480,COUNT,13,480480480480480,4022
2011,A,"Agriculture, Forestry and Fishing",e_20-49,Rolling mean employees,13983,COUNT,13,1398313983139831398313983,4022
2011,A,"Agriculture, Forestry and Fishing",e_20-49,Salaries and wages paid,410,DOLLARS(millions),13,410410410410410,4022
2011,A,"Agriculture, Forestry and Fishing",e_20-49,"Sales, government funding, grants and subsidies",1806,DOLLARS(millions),13,18061806180618061806,4022
2011,A,"Agriculture, Forestry and Fishing",e_20-49,Total income,1885,DOLLARS(millions),13,18851885188518851885,4022
2011,A,"Agriculture, Forestry and Fishing",e_20-49,Total expenditure,1773,DOLLARS(millions),13,17731773177317731773,4022
2011,A,"Agriculture, Forestry and Fishing",e_20-49,Operating profit before tax,80,DOLLARS(millions),13,8080808080,4022
2011,A,"Agriculture, Forestry and Fishing",e_20-49,Total assets,3984,DOLLARS(millions),13,39843984398439843984,4022
2011,A,"Agriculture, Forestry and Fishing",e_20-49,Fixed tangible assets,1676,DOLLARS(millions),13,16761676167616761676,4022
2011,A,"Agriculture, Forestry and Fishing",f_50-99,Activity unit,111,COUNT,13,111111111111111,4022
2011,A,"Agriculture, Forestry and Fishing",f_50-99,Rolling mean employees,7419,COUNT,13,74197419741974197419,4022
2011,A,"Agriculture, Forestry and Fishing",f_50-99,Salaries and wages paid,200,DOLLARS(millions),13,200200200200200,4022
2011,A,"Agriculture, Forestry and Fishing",f_50-99,"Sales, government funding, grants and subsidies",1075,DOLLARS(millions),13,10751075107510751075,4022
2011,A,"Agriculture, Forestry and Fishing",f_50-99,Total income,1170,DOLLARS(millions),13,11701170117011701170,4022
2011,A,"Agriculture, Forestry and Fishing",f_50-99,Total expenditure,1056,DOLLARS(millions),13,10561056105610561056,4022
2011,A,"Agriculture, Forestry and Fishing",f_50-99,Operating profit before tax,39,DOLLARS(millions),13,3939393939,4022
2011,A,"Agriculture, Forestry and Fishing",f_50-99,Total assets,2067,DOLLARS(millions),13,20672067206720672067,4022
2011,A,"Agriculture, Forestry and Fishing",f_50-99,Fixed tangible assets,930,DOLLARS(millions),13,930930930930930,4022
2011,A,"Agriculture, Forestry and Fishing",g_100-199,Activity unit,27,COUNT,13,2727272727,4022
2011,A,"Agriculture, Forestry and Fishing",g_100-199,Rolling mean employees,3522,COUNT,13,35223522352235223522,4022
2011,A,"Agriculture, Forestry and Fishing",g_100-199,Salaries and wages paid,86,DOLLARS(millions),13,8686868686,4022
2011,A,"Agriculture, Forestry and Fishing",g_100-199,"Sales, government funding, grants and subsidies",341,DOLLARS(millions),13,341341341341341,4022
2011,A,"Agriculture, Forestry and Fishing",g_100-199,Total income,364,DOLLARS(millions),13,364364364364364,4022
2011,A,"Agriculture, Forestry and Fishing",g_100-199,Total expenditure,333,DOLLARS(millions),13,333333333333333,4022
2011,A,"Agriculture, Forestry and Fishing",g_100-199,Operating profit before tax,37,DOLLARS(millions),13,3737373737,4022
2011,A,"Agriculture, Forestry and Fishing",g_100-199,Total assets,807,DOLLARS(millions),13,807807807807807,4022
2011,A,"Agriculture, Forestry and Fishing",g_100-199,Fixed tangible assets,C,DOLLARS(millions),13,CCCCC,4022
2011,A,"Agriculture, Forestry and Fishing",h_200+,Activity unit,15,COUNT,13,1515151515,4022
2011,A,"Agriculture, Forestry and Fishing",h_200+,Rolling mean employees,6120,COUNT,13,61206120612061206120,4022
2011,A,"Agriculture, Forestry and Fishing",h_200+,Salaries and wages paid,173,DOLLARS(millions),13,173173173173173,4022
2011,A,"Agriculture, Forestry and Fishing",h_200+,"Sales, government funding, grants and subsidies",920,DOLLARS(millions),13,920920920920920,4022
2011,A,"Agriculture, Forestry and Fishing",h_200+,Total income,1034,DOLLARS(millions),13,10341034103410341034,4022
2011,A,"Agriculture, Forestry and Fishing",h_200+,Total expenditure,850,DOLLARS(millions),13,850850850850850,4022
2011,A,"Agriculture, Forestry and Fishing",h_200+,Operating profit before tax,93,DOLLARS(millions),13,9393939393,4022
2011,A,"Agriculture, Forestry and Fishing",h_200+,Total assets,2555,DOLLARS(millions),13,25552555255525552555,4022
2011,A,"Agriculture, Forestry and Fishing",h_200+,Fixed tangible assets,C,DOLLARS(millions),13,CCCCC,4022
2011,A,"Agriculture, Forestry and Fishing",i_Industry_Total,Activity unit,71652,COUNT,13,7165271652716527165271652,4022
2011,A,"Agriculture, Forestry and Fishing",i_Industry_Total,Rolling mean employees,97878,COUNT,13,9787897878978789787897878,4022
